MARQUE,CODE EDI,CODE COMMERCIAL,MODELE COMMERCIAL,BACK OFFICE COMMERCIAL,GÉOMETRIE,DESIGN,INDICE,MATIERE,TRAITEMENT,FLUX COMMERCIAL,COULEUR,PRIX 2*NETS,TAUX DE REMISE GC,PRIX 3*NETS GC,KALIXIA,ITELIS,CARTE BLANCHE,SEVEANE,SANTECLAIRE
CODIR,0C46ST,C46,AUDACE 15_ ST,AUDACE 15_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,NU,STOCK,BLANC,"0,88€","4,78%","0,84€",,,,,
ORUS,0O75ST,O75,ORUS 15_ ST,AUDACE 15_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,NU,STOCK,BLANC,"0,62€","5,00%","0,59€",,,,,
CODIR,0C47ST,C47,AUDACE 15 DYMIC_ ST,AUDACE 15 DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,DYMIC,STOCK,BLANC,"1,56€","5,13%","1,48€",,,,,
ORUS,0O76ST,O76,ORUS 15 DYMIC_ ST,AUDACE 15 DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,DYMIC,STOCK,BLANC,"1,04€","5,00%","0,99€",,,,,
CODIR,0C48ST,C48,AUDACE 15 SCINTIL_ ST,AUDACE 15 SCINTIL_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,SCINTIL,STOCK,BLANC,"3,60€","5,00%","3,42€",,,,,
ORUS,0O77ST,O77,ORUS 15 SCINTIL_ ST,AUDACE 15 SCINTIL_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,SCINTIL,STOCK,BLANC,"2,25€","5,00%","2,14€",,,,,
CODIR,0C49ST,C49,AUDACE 15 MISTRAL_ ST,AUDACE 15 MISTRAL_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,MISTRAL,STOCK,BLANC,"7,48€","5,04%","7,10€",,,,,
ORUS,0O78ST,O78,ORUS 15 MISTRAL_ ST,AUDACE 15 MISTRAL_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,MISTRAL,STOCK,BLANC,"5,82€","5,00%","5,53€",,,,,
CODIR,0CSYST,CSY,AFOCAL 15 SAR BLEU_ST,AFOCAL 15 SAR BLEU_ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,SAR BLEU,STOCK,BLANC,"6,49€","4,93%","6,17€",,,,,
CODIR,0CE1ST,CE1,AUDACE 15 E-PROTECT_ ST,AUDACE 15 E-PROTECT_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,E-PROTECT,STOCK,BLANC,"11,70€","5,00%","11,12€",,,,,
ORUS,0OD4ST,OD4,ORUS 15 E-PROTECT_ST,AUDACE 15 E-PROTECT_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,E-PROTECT,STOCK,BLANC,"9,30€","5,00%","8,84€",,,,,
CODIR,0C4AST,C4A,AUDACE 15 QUATTRO UV_ ST,AUDACE 15 QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,QUATTRO UV,STOCK,BLANC,"11,70€","5,00%","11,12€",,,,,
ORUS,0O79ST,O79,ORUS 15 QUATTRO UV_ ST,AUDACE 15 QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,QUATTRO UV,STOCK,BLANC,"9,30€","5,00%","8,84€",,,,,
CODIR,ARFDRX,ARFD,AUDACE 15 QUATTRO UV CLEAN (J+4),AUDACE 15 QUATTRO UV CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5",BLANC,QUATTRO UV CLEAN,STOCK,BLANC,"15,60€","5,00%","14,82€",,,,,
ORUS,ASWWRX,ASWW,ORUS 15 QUATTRO UV CLEAN (J+4),AUDACE 15 QUATTRO UV CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5",BLANC,QUATTRO UV CLEAN,STOCK,BLANC,"12,87€","5,00%","12,23€",,,,,
CODIR,07LDST,7LD,AUDACE 15 B-PROTECT_ST,AUDACE 15 B-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,B-PROTECT,STOCK,BLANC,"14,62€","5,00%","13,89€",,,,,
ORUS,07MFST,7MF,ORUS 15 B-PROTECT_ST,AUDACE 15 B-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,B-PROTECT,STOCK,BLANC,"12,24€","5,00%","11,63€",,,,,
CODIR,ARFERX,ARFE,AUDACE 15 B-PROTECT CLEAN (J+4),AUDACE 15 B-PROTECT CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5",BLANC,B-PROTECT CLEAN,STOCK,BLANC,"18,53€","5,01%","17,60€",,,,,
ORUS,ASWXRX,ASWX,ORUS 15 B-PROTECT CLEAN (J+4),AUDACE 15 B-PROTECT CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5",BLANC,B-PROTECT CLEAN,STOCK,BLANC,"15,94€","5,00%","15,14€",,,,,
CODIR,07JIST,7JI,AUDACE 15 SUV_ST,AUDACE 15 SUV_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",NU,STOCK,BLANC,"3,00€","5,01%","2,85€",,,,,
CODIR,07JJST,7JJ,AUDACE 15 SUV DYMIC_ST,AUDACE 15 SUV DYMIC_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",DYMIC,STOCK,BLANC,"3,66€","4,97%","3,48€",,,,,
CODIR,07JKST,7JK,AUDACE 15 SUV SCINTIL_ST,AUDACE 15 SUV SCINTIL_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",SCINTIL,STOCK,BLANC,"5,72€","5,02%","5,43€",,,,,
CODIR,07JLST,7JL,AUDACE 15 SUV MISTRAL_ST,AUDACE 15 SUV MISTRAL_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",MISTRAL,STOCK,BLANC,"9,55€","4,96%","9,08€","72,23 €",,,,
CODIR,07JMST,7JM,AUDACE 15 SUV E-PROTECT_ST,AUDACE 15 SUV E-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",E-PROTECT,STOCK,BLANC,"13,84€","4,98%","13,15€","68,55 €",,,,
CODIR,0VOFST,VOF,AUDACE 15 SUV QUATTRO UV_ ST,AUDACE 15 SUV QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",QUATTRO UV,STOCK,BLANC,"13,84€","4,98%","13,15€","72,23 €",,,,
ORUS,061LST,61L,ORUS 15 SUV QUATTRO UV_ ST,AUDACE 15 SUV QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",QUATTRO UV,STOCK,BLANC,"10,93€","5,00%","10,38€",,,,,
CODIR,ARFFRX,ARFF,AUDACE 15 SUV QUATTRO UV CLEAN (J+4),AUDACE 15 SUV QUATTRO UV CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",QUATTRO UV CLEAN,STOCK,BLANC,"17,75€","4,99%","16,86€",,,,,
CODIR,07JNST,7JN,AUDACE 15 SUV B-PROTECT_ST,AUDACE 15 SUV B-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",B-PROTECT,STOCK,BLANC,"16,70€","5,03%","15,86€","75,20 €",,,,
CODIR,ARFGRX,ARFG,AUDACE 15 SUV B-PROTECT CLEAN (J+4),AUDACE 15 SUV B-PROTECT CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",B-PROTECT CLEAN,STOCK,BLANC,"20,63€","4,98%","19,60€",,,,,
CODIR,07NKRX,7NK,AUDACE 15 SABR DYMIC (J+4),AUDACE 15 SABR DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,DYMIC,STOCK,BRUN,"11,81€","5,01%","11,22€",,,,,
ORUS,0OKHRX,OKH,ORUS 15 SABR DYMIC (J+4),AUDACE 15 SABR DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,DYMIC,STOCK,BRUN,"10,31€","5,00%","9,79€",,,,,
CODIR,07NLRX,7NL,AUDACE 15 SAGR DYMIC (J+4),AUDACE 15 SAGR DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,DYMIC,STOCK,GRIS,"11,81€","5,01%","11,22€",,,,,
ORUS,0OKIRX,OKI,ORUS 15 SAGR DYMIC (J+4),AUDACE 15 SAGR DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,DYMIC,STOCK,GRIS,"10,31€","5,00%","9,79€",,,,,
CODIR,07NMRX,7NM,AUDACE 15 SABR MISTRAL (J+4),AUDACE 15 SABR MISTRAL (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,MISTRAL,STOCK,BRUN,"20,98€","4,98%","19,94€",,,,,
ORUS,0OKKRX,OKK,ORUS 15 SABR MISTRAL (J+4),AUDACE 15 SABR MISTRAL (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,MISTRAL,STOCK,BRUN,"18,26€","5,00%","17,35€",,,,,
CODIR,07NNRX,7NN,AUDACE 15 SAGR MISTRAL (J+4),AUDACE 15 SAGR MISTRAL (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,MISTRAL,STOCK,GRIS,"20,98€","4,98%","19,94€",,,,,
ORUS,0OKJRX,OKJ,ORUS 15 SAGR MISTRAL (J+4),AUDACE 15 SAGR MISTRAL (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,MISTRAL,STOCK,GRIS,"18,26€","5,00%","17,35€",,,,,
CODIR,07NORX,7NO,AUDACE 15 SABR QUATTRO UV (J+4),AUDACE 15 SABR QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,QUATTRO UV,STOCK,BRUN,"23,61€","4,99%","22,43€",,,,,
ORUS,0OKLRX,OKL,ORUS 15 SABR QUATTRO UV (J+4),AUDACE 15 SABR QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,QUATTRO UV,STOCK,BRUN,"21,04€","5,00%","19,99€",,,,,
CODIR,07NPRX,7NP,AUDACE 15 SAGR QUATTRO UV (J+4),AUDACE 15 SAGR QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,QUATTRO UV,STOCK,GRIS,"23,61€","4,99%","22,43€",,,,,
ORUS,0OKMRX,OKM,ORUS 15 SAGR QUATTRO UV (J+4),AUDACE 15 SAGR QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,QUATTRO UV,STOCK,GRIS,"21,04€","5,00%","19,99€",,,,,
CODIR,07LEST,7LE,AUDACE 15 UV COLOR BRUN 85% AFOCAL_ST,AUDACE 15 UV COLOR BRUN 85% AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,BRUN,"2,51€","4,89%","2,39€",,,,,
CODIR,07LFST,7LF,AUDACE 15 UV COLOR GRIS 85% AFOCAL_ST,AUDACE 15 UV COLOR GRIS 85% AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,GRIS,"2,51€","4,89%","2,39€",,,,,
CODIR,07LGST,7LG,AUDACE 15 UV COLOR GRIS US 85% AFOCAL_ST,AUDACE 15 UV COLOR GRIS US 85% AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,GRIS US,"2,51€","4,89%","2,39€",,,,,
CODIR,0C4OST,C4O,AUDACE 15 UV COLOR BRUN 85%_ ST,AUDACE 15 UV COLOR BRUN 85%_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,BRUN,"2,51€","4,89%","2,39€",,,,,
ORUS,0OCNST,OCN,ORUS 15 UV COLOR BRUN 85%_ ST,AUDACE 15 UV COLOR BRUN 85%_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,BRUN,"1,94€","5,00%","1,84€",,,,,
CODIR,0C4PST,C4P,AUDACE 15 UV COLOR GRIS 85%_ ST,AUDACE 15 UV COLOR GRIS 85%_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,GRIS,"2,51€","4,89%","2,39€",,,,,
ORUS,0OCOST,OCO,ORUS 15 UV COLOR GRIS 85%_ ST,AUDACE 15 UV COLOR GRIS 85%_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,GRIS,"1,94€","5,00%","1,84€",,,,,
CODIR,0C4QST,C4Q,AUDACE 15 UV COLOR GRIS US 85%_ ST,AUDACE 15 UV COLOR GRIS US 85%_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,GRIS US,"2,51€","4,89%","2,39€",,,,,
ORUS,0OCPST,OCP,ORUS 15 UV COLOR GRIS US 85%_ ST,AUDACE 15 UV COLOR GRIS US 85%_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,GRIS US,"1,94€","5,00%","1,84€",,,,,
CODIR,0C4RST,C4R,AUDACE 15 UV COLOR BRUN 85% DYMIC_ ST,AUDACE 15 UV COLOR BRUN 85% DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,DYMIC,STOCK,BRUN,"5,52€","4,93%","5,25€",,,,,
ORUS,0OCQST,OCQ,ORUS 15 UV COLOR BRUN 85% DYMIC_ ST,AUDACE 15 UV COLOR BRUN 85% DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,DYMIC,STOCK,BRUN,"4,81€","5,00%","4,57€",,,,,
CODIR,0C4SST,C4S,AUDACE 15 UV COLOR GRIS 85% DYMIC_ ST,AUDACE 15 UV COLOR GRIS 85% DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,DYMIC,STOCK,GRIS,"5,52€","4,93%","5,25€",,,,,
ORUS,0OCRST,OCR,ORUS 15 UV COLOR GRIS 85% DYMIC_ ST,AUDACE 15 UV COLOR GRIS 85% DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,DYMIC,STOCK,GRIS,"4,81€","5,00%","4,57€",,,,,
CODIR,0C4TST,C4T,AUDACE 15 UV COLOR GRIS US 85% DYMIC_ ST,AUDACE 15 UV COLOR GRIS US 85% DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,DYMIC,STOCK,GRIS US,"5,52€","4,93%","5,25€",,,,,
ORUS,0OCSST,OCS,ORUS 15 UV COLOR GRIS US 85% DYMIC_ ST,AUDACE 15 UV COLOR GRIS US 85% DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,DYMIC,STOCK,GRIS US,"4,81€","5,00%","4,57€",,,,,
CODIR,010RST,10R,AUDACE 15 POLA BR3 AFOCAL_ST,AUDACE 15 POLA BR3 AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",POLARISANT,NU,STOCK,BRUN,"6,87€","5,04%","6,52€",,,,,
ORUS,07MLST,7ML,ORUS 15 POLA BRUN 3 AFOCAL_ST,AUDACE 15 POLA BR3 AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",POLARISANT,NU,STOCK,BRUN,"5,49€","5,00%","5,22€",,,,,
CODIR,010SST,10S,AUDACE 15 POLA GR3 AFOCAL_ST,AUDACE 15 POLA GR3 AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",POLARISANT,NU,STOCK,GRIS,"6,87€","5,04%","6,52€",,,,,
ORUS,07MNST,7MN,ORUS 15 POLA GRIS 3 AFOCAL_ST,AUDACE 15 POLA GR3 AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",POLARISANT,NU,STOCK,GRIS,"5,49€","5,00%","5,22€",,,,,
CODIR,010TST,10T,AUDACE 15 POLA G15 AFOCAL_ST,AUDACE 15 POLA G15 AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",POLARISANT,NU,STOCK,GRIS US,"6,87€","5,04%","6,52€",,,,,
ORUS,07MMST,7MM,ORUS 15 POLA GRIS US 3 AFOCAL_ST,AUDACE 15 POLA G15 AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",POLARISANT,NU,STOCK,GRIS US,"5,49€","5,00%","5,22€",,,,,
CODIR,07NHRX,7NH,INTENS 159 DYMIC (J+4),INTENS 159 DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,59",BLANC,DYMIC,STOCK,BLANC,"4,44€","5,10%","4,21€",,,,,
ORUS,0O8RRX,O8R,ORUS POLY DYMIC (J+4),INTENS 159 DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,59",BLANC,DYMIC,STOCK,BLANC,"3,79€","5,00%","3,60€",,,,,
CODIR,07LKRX,7LK,INTENS 159 QUATTRO UV (J+4),INTENS 159 QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,59",BLANC,QUATTRO UV,STOCK,BLANC,"14,70€","5,00%","13,97€",,,,,
ORUS,APLERX,APLE,ORUS POLY QUATTRO UV (J+4),INTENS 159 QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,59",BLANC,QUATTRO UV,STOCK,BLANC,"11,76€","5,00%","11,17€",,,,,
CODIR,0AD5ST,AD5,AUDACE 16 SUV DYMIC_ ST,AUDACE 16 SUV DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",DYMIC,STOCK,BLANC,"5,82€","4,96%","5,53€",,,,,
ORUS,0O7IST,O7I,ORUS 16 SUV DYMIC_ ST,AUDACE 16 SUV DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",DYMIC,STOCK,BLANC,"5,23€","5,00%","4,97€",,,,,
CODIR,0AD4ST,AD4,AUDACE 16 SUV SCINTIL_ ST,AUDACE 16 SUV SCINTIL_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",SCINTIL,STOCK,BLANC,"7,46€","5,02%","7,09€",,,,,
ORUS,0O7JST,O7J,ORUS 16 SUV SCINTIL_ ST,AUDACE 16 SUV SCINTIL_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",SCINTIL,STOCK,BLANC,"5,92€","5,00%","5,62€",,,,,
CODIR,0AD6ST,AD6,AUDACE 16 SUV MISTRAL_ ST,AUDACE 16 SUV MISTRAL_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",MISTRAL,STOCK,BLANC,"10,34€","5,04%","9,82€","75,08 €",,,,
ORUS,0O7KST,O7K,ORUS 16 SUV MISTRAL_ ST,AUDACE 16 SUV MISTRAL_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",MISTRAL,STOCK,BLANC,"8,56€","5,00%","8,13€",,,,,
CODIR,0AF3ST,AF3,AUDACE 16 SUV E-PROTECT_ ST,AUDACE 16 SUV E-PROTECT_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",E-PROTECT,STOCK,BLANC,"14,39€","5,00%","13,67€","78,05 €",,,,
ORUS,0OD5ST,OD5,ORUS 16 SUV E-PROTECT_ST,AUDACE 16 SUV E-PROTECT_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",E-PROTECT,STOCK,BLANC,"11,67€","5,00%","11,09€",,,,,
CODIR,0AD7ST,AD7,AUDACE 16 SUV QUATTRO UV_ ST,AUDACE 16 SUV QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"14,39€","5,00%","13,67€","83,64 €",,,,
ORUS,0O7LST,O7L,ORUS 16 SUV QUATTRO UV_ ST,AUDACE 16 SUV QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"11,67€","5,00%","11,09€",,,,,
CODIR,ARFHRX,ARFH,AUDACE 16 SUV QUATTRO UV CLEAN (J+4),AUDACE 16 SUV QUATTRO UV CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",QUATTRO UV CLEAN,STOCK,BLANC,"18,20€","4,99%","17,29€",,,,,
ORUS,ASW0RX,ASW0,ORUS 16 SUV QUATTRO UV CLEAN (J+4),AUDACE 16 SUV QUATTRO UV CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",QUATTRO UV CLEAN,STOCK,BLANC,"15,33€","5,00%","14,56€",,,,,
CODIR,0AF4ST,AF4,AUDACE 16 SUV B-PROTECT_ST,AUDACE 16 SUV B-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",B-PROTECT,STOCK,BLANC,"17,19€","5,01%","16,33€","87,56 €",,,,
ORUS,0OKGST,OKG,ORUS 16 SUV B-PROTECT_ST,AUDACE 16 SUV B-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",B-PROTECT,STOCK,BLANC,"14,61€","5,00%","13,88€",,,,,
CODIR,ARFIRX,ARFI,AUDACE 16 SUV B-PROTECT CLEAN (J+4),AUDACE 16 SUV B-PROTECT CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",B-PROTECT CLEAN,STOCK,BLANC,"21,06€","5,00%","20,01€",,,,,
ORUS,ASW1RX,ASW1,ORUS 16 SUV B-PROTECT CLEAN (J+4),AUDACE 16 SUV B-PROTECT CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,6","BLANC SUV > 1,5",B-PROTECT CLEAN,STOCK,BLANC,"17,37€","5,00%","16,50€",,,,,
CODIR,07LLRX,7LL,AUDACE 16 SUV AS QUATTRO UV (J+4),AUDACE 16 SUV AS QUATTRO UV (J+4),UNIFOCAL,AUDACE AS,"1,6","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"16,51€","5,02%","15,68€",,,,,
ORUS,APLBRX,APLB,ORUS 16 AS SUV QUATTRO UV (J+4),AUDACE 16 SUV AS QUATTRO UV (J+4),UNIFOCAL,AUDACE AS,"1,6","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"13,20€","5,00%","12,54€",,,,,
CODIR,07LAST,7LA,AUDACE 16 UV COLOR BRUN 85% DYMIC_ST,AUDACE 16 UV COLOR BRUN 85% DYMIC_ST,UNIFOCAL,AUDACE SPH,"1,6",TEINTE,DYMIC,STOCK,BRUN,"8,50€","5,00%","8,08€",,,,,
CODIR,07LBST,7LB,AUDACE 16 UV COLOR GRIS 85% DYMIC_ST,AUDACE 16 UV COLOR GRIS 85% DYMIC_ST,UNIFOCAL,AUDACE SPH,"1,6",TEINTE,DYMIC,STOCK,GRIS,"8,50€","5,00%","8,08€",,,,,
CODIR,07LCST,7LC,AUDACE 16 UV COLOR GRIS US 85% DYMIC_ST,AUDACE 16 UV COLOR GRIS US 85% DYMIC_ST,UNIFOCAL,AUDACE SPH,"1,6",TEINTE,DYMIC,STOCK,GRIS US,"8,50€","5,00%","8,08€",,,,,
CODIR,0AD8ST,AD8,AUDACE 167 SUV MISTRAL_ ST,AUDACE 167 SUV MISTRAL_ ST,UNIFOCAL,AUDACE SPH,"1,67","BLANC SUV > 1,5",MISTRAL,STOCK,BLANC,"14,69€","5,02%","13,95€","99,79 €",,,,
ORUS,0OCBST,OCB,ORUS 167 SUV MISTRAL_ ST,AUDACE 167 SUV MISTRAL_ ST,UNIFOCAL,AUDACE SPH,"1,67","BLANC SUV > 1,5",MISTRAL,STOCK,BLANC,"12,94€","5,00%","12,29€",,,,,
CODIR,0AF0ST,AF0,AUDACE 167 SUV QUATTRO UV_ ST,AUDACE 167 SUV QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,67","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"18,02€","5,02%","17,12€","108,35 €",,,,
ORUS,0O74ST,O74,ORUS 167 SUV QUATTRO UV_ ST,AUDACE 167 SUV QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,67","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"15,38€","5,00%","14,61€",,,,,
CODIR,07LMRX,7LM,AUDACE 167 SUV B-PROTECT (J+4),AUDACE 167 SUV B-PROTECT (J+4),UNIFOCAL,AUDACE SPH,"1,67","BLANC SUV > 1,5",B-PROTECT,STOCK,BLANC,"20,75€","4,98%","19,72€","112,27 €",,,,
CODIR,07NIRX,7NI,AUDACE 167 SUV AS MISTRAL (J+4),AUDACE 167 SUV AS MISTRAL (J+4),UNIFOCAL,AUDACE AS,"1,67","BLANC SUV > 1,5",MISTRAL,STOCK,BLANC,"16,44€","4,98%","15,62€","99,79 €",,,,
ORUS,0O7ARX,O7A,ORUS 167 AS SUV MISTRAL (J+4),AUDACE 167 SUV AS MISTRAL (J+4),UNIFOCAL,AUDACE AS,"1,67","BLANC SUV > 1,5",MISTRAL,STOCK,BLANC,"14,09€","5,00%","13,39€",,,,,
CODIR,07NJRX,7NJ,AUDACE 167 SUV AS QUATTRO UV (J+4),AUDACE 167 SUV AS QUATTRO UV (J+4),UNIFOCAL,AUDACE AS,"1,67","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"19,42€","5,00%","18,45€","108,35 €",,,,
ORUS,0O7BRX,O7B,ORUS 167 AS SUV QUATTRO UV (J+4),AUDACE 167 SUV AS QUATTRO UV (J+4),UNIFOCAL,AUDACE AS,"1,67","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"16,51€","5,00%","15,68€",,,,,
CODIR,07LNRX,7LN,AUDACE 174 SUV AS QUATTRO UV (J+4),AUDACE 174 SUV AS QUATTRO UV (J+4),UNIFOCAL,AUDACE AS,"1,74","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"28,14€","5,00%","26,73€",,,,,
ORUS,07NFRX,7NF,ORUS 174 AS SUV QUATTRO UV (J+4),AUDACE 174 SUV AS QUATTRO UV (J+4),UNIFOCAL,AUDACE AS,"1,74","BLANC SUV > 1,5",QUATTRO UV,STOCK,BLANC,"24,12€","5,00%","22,91€",,,,,
CODIR,0C4CRX,C4C,AUDACE 15_RX,AUDACE 15_RX,UNIFOCAL,AUDACE SPH,"1,5",BLANC,NU,RX,BLANC,"5,01€","5,07%","4,76€",,,,,
ORUS,0O7CRX,O7C,ORUS 15_RX,AUDACE 15_RX,UNIFOCAL,AUDACE SPH,"1,5",BLANC,NU,RX,BLANC,"4,49€","5,00%","4,27€",,,,,
CODIR,0C4IRX,C4I,AUDACE 15 DYMIC_RX,AUDACE 15 DYMIC_RX,UNIFOCAL,AUDACE SPH,"1,5",BLANC,DYMIC,RX,BLANC,"7,79€","5,00%","7,40€",,,,,
ORUS,0O7DRX,O7D,ORUS 15 DYMIC_RX,AUDACE 15 DYMIC_RX,UNIFOCAL,AUDACE SPH,"1,5",BLANC,DYMIC,RX,BLANC,"6,98€","5,00%","6,63€",,,,,
CODIR,0C4JRX,C4J,AUDACE 15 SCINTIL_RX,AUDACE 15 SCINTIL_RX,UNIFOCAL,AUDACE SPH,"1,5",BLANC,SCINTIL,RX,BLANC,"11,97€","5,03%","11,37€",,,,,
ORUS,0O7FRX,O7F,ORUS 15 SCINTIL_RX,AUDACE 15 SCINTIL_RX,UNIFOCAL,AUDACE SPH,"1,5",BLANC,SCINTIL,RX,BLANC,"10,72€","5,00%","10,18€",,,,,
CODIR,0C4KRX,C4K,AUDACE 15 MISTRAL_RX,AUDACE 15 MISTRAL_RX,UNIFOCAL,AUDACE SPH,"1,5",BLANC,MISTRAL,RX,BLANC,"15,44€","4,99%","14,67€",,,,,
